event_uid,amount,tx_type,account_age_days,mcc,is_vpn,predicted_label,model_probability,model_confidence,risk_score,risk_level,task_path,reviewed_label,reviewed_by,reviewed_at,review_note
DEMO-900001,34544.35,1,4,6011,true,heavy,0.822,0.644,82.2,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900002,2465.05,0,6,7995,true,heavy,0.573,0.1459,57.3,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900003,7497.44,0,649,5411,false,light,0.1513,0.6974,15.1,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900004,1632.95,0,1258,5411,false,light,0.0872,0.8256,8.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900005,48926.46,0,451,6011,false,heavy,0.6061,0.2122,60.6,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900006,516.74,2,16,5411,false,light,0.4292,0.1417,42.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900007,17688.97,1,22,5411,true,heavy,0.6135,0.2271,61.4,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900008,4468.72,2,296,4814,false,light,0.196,0.6079,19.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900009,12506.61,1,88,5411,true,heavy,0.6729,0.3457,67.3,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900010,75928.02,1,16,7995,true,heavy,0.9428,0.8856,94.3,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900011,679.7,2,40,5411,false,light,0.464,0.072,46.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900012,1487.98,2,28,5411,false,light,0.395,0.2099,39.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900013,672.79,1,1094,5411,false,light,0.4537,0.0926,45.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900014,632.48,2,27,5411,false,light,0.3923,0.2154,39.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900015,28912.3,1,11,7995,true,heavy,0.9678,0.9357,96.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900016,8136.5,0,461,4814,false,heavy,0.3268,0.3463,32.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Normal transfer with no elevated factors remains light
DEMO-900017,12835.73,1,5,6011,true,heavy,0.6649,0.3298,66.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900018,15234.5,1,14,6011,true,heavy,0.6716,0.3432,67.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900019,36319.16,2,1983,5411,false,light,0.2608,0.4784,26.1,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900020,4343.36,0,6,7995,true,heavy,0.7674,0.5347,76.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900021,2375.87,1,1575,5411,false,light,0.2956,0.4089,29.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900022,5364.22,0,6,7995,true,heavy,0.6149,0.2298,61.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900023,20990.62,2,981,5411,false,light,0.2322,0.5355,23.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900024,8774.98,0,112,4814,false,light,0.4279,0.1441,42.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-900025,26239.61,2,1810,5411,false,light,0.2637,0.4727,26.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
