event_uid,amount,tx_type,account_age_days,mcc,is_vpn,predicted_label,model_probability,model_confidence,risk_score,risk_level,task_path,reviewed_label,reviewed_by,reviewed_at,review_note
DEMO-000001,1155.53,2,1002,4814,false,light,0.2174,0.5652,21.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000002,87601.34,1,9,6011,true,heavy,0.7742,0.5484,77.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000003,5206.34,2,415,5411,false,light,0.1726,0.6548,17.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000004,2187.25,2,2089,5411,false,light,0.0536,0.8929,5.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000005,6769.75,2,571,5411,false,light,0.2352,0.5296,23.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000006,14330.46,1,13,6011,true,heavy,0.6949,0.3897,69.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000007,30978.69,1,50,7995,true,heavy,0.876,0.752,87.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000008,2587.54,0,1360,5411,false,light,0.1065,0.787,10.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000009,70770.26,0,33,7995,true,heavy,0.7853,0.5706,78.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000010,2850.11,2,1009,5411,false,light,0.1743,0.6514,17.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
