event_uid,amount,tx_type,account_age_days,mcc,is_vpn,predicted_label,model_probability,model_confidence,risk_score,risk_level,task_path,reviewed_label,reviewed_by,reviewed_at,review_note
DEMO-000101,1366.25,0,2225,4814,false,light,0.0935,0.813,9.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000102,1070.9,2,2461,5411,false,light,0.1223,0.7553,12.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000103,998.79,2,15,5411,false,light,0.2266,0.5468,22.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-000104,4185.3,0,0,7995,true,heavy,0.7371,0.4743,73.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000105,12100.63,1,44,5411,false,heavy,0.6749,0.3499,67.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000106,19479.81,1,24,5411,false,heavy,0.7644,0.5289,76.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000107,2049.08,1,679,5411,false,light,0.4325,0.135,43.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000108,1395.18,2,2104,5411,false,light,0.0792,0.8416,7.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000109,27464.3,1,27,5411,false,heavy,0.7024,0.4047,70.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000110,5238.69,2,1716,4814,false,light,0.1126,0.7749,11.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000111,2412.37,2,589,5411,false,light,0.1428,0.7143,14.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000112,1108.47,2,14,5411,false,light,0.2828,0.4344,28.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-000113,6628.82,0,360,4814,false,light,0.4302,0.1396,43.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000114,7646.56,0,268,4814,false,light,0.3714,0.2573,37.1,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000115,2052.89,1,896,5411,false,light,0.3054,0.3892,30.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
